simbad_ident,display_name,simbad_main_id,gaia_dr3_source_id,hip,name_type,fame_tier
HIP 72607,Kochab,* bet UMi,,72607,iau,1
HIP 3419,Diphda,* bet Cet,,3419,iau,1
tet Cen,Menkent (Theta Centauri),* tet Cen,,68933,iau,1
HIP 746,Caph,* bet Cas,,746,iau,1
HIP 84012,Sabik,* eta Oph,,84012,iau,1
HIP 82396,Larawag,* eps Sco,,82396,iau,1
HIP 113963,Markab,* alf Peg,,113963,iau,1
HIP 105199,Alderamin,* alf Cep,,105199,iau,1
alf Phe,Ankaa (Alpha Phoenicis),* alf Phe,4993479684438433792,2081,iau,1
HIP 54872,Zosma,* del Leo,,54872,iau,1
HIP 93506,Ascella,* zet Sgr,,93506,iau,1
HIP 102488,Aljanah,* eps Cyg,,102488,iau,1
HIP 8903,Sheratan,* bet Ari,,8903,iau,1
HIP 6686,Ruchbah,* del Cas,510204838759030144,6686,iau,1
HIP 65109,Kulou,* iot Cen,,65109,iau,1
HIP 72622,Zubenelgenubi,* alf02 Lib,,72622,iau,1
HIP 67927,Muphrid,* eta Boo,,67927,iau,1
alf Ser,Unukalhai (Alpha Serpentis),* alf Ser,4429785739602747392,77070,iau,1
HIP 61359,Kraz,* bet Crv,3501215734352781440,61359,iau,1
gam Vir,Porrima (Gamma Virginis),* gam Vir,3683687763520080384,61941,iau,1
HIP 23875,Cursa,* bet Eri,3211922645854328832,23875,iau,1
alf02 CVn,Cor Caroli (Alpha2 Canum Venaticorum),* alf02 CVn,1517698716348324992,63125,iau,1
eta Dra,Athebyne (Eta Draconis),* eta Dra,1625209684868707328,80331,iau,1
HIP 39757,Tureis,* rho Pup,5698015743046182272,39757,iau,1
bet Oph,Cebalrai (Beta Ophiuchi),* bet Oph,4473334474604992384,86742,iau,1
HIP 81693,Tianji,* zet Her,,81693,iau,1
HIP 80816,Kornephoros,* bet Her,1297565458994346240,80816,iau,1
HIP 107556,Deneb Algedi,* del Cap,6838311796136238976,107556,iau,1
HIP 60965,Algorab,* del Crv,3520586071217872896,60965,iau,1
HIP 90496,Kaus Borealis,* lam Sgr,4076915349846977664,90496,iau,1
HIP 93747,Okab,* zet Aql,4314399312979641728,93747,iau,1
