hip,ra,dec,plx,e_plx,pm_ra,pm_de,hp_mag,b_v,gaia_source_id,gaia_match_sep_arcsec,gaia_in_v2,distance_ly,gaia_match_note
13942,44.90027279,-25.27433866,30.66,0.36,181.15,83.44,5.7905,0.427,5073246882211822720,0.004,True,106.37834311806914,position+magnitude match
113044,343.40725104,-48.59808751,30.66,0.39,217.04,-81.76,6.1609,0.621,6515731817739456256,0.0,True,106.37834311806914,position+magnitude match
69751,214.13719856,20.12207648,30.65,0.64,-135.85,-93.28,6.3659,0.504,1252050659765215744,0.014,True,106.41305057096248,position+magnitude match
45571,139.32250174,-68.68957271,30.64,0.7,-106.57,-30.0,5.4888,0.415,5222956488533801728,0.282,True,106.44778067885116,position+magnitude match
52776,161.85611155,-22.28664277,30.64,1.39,-126.06,-30.31,10.0431,1.155,3550084490721711872,0.0,True,106.44778067885116,position+magnitude match
79882,244.58017054,-4.69260821,30.64,0.2,83.4,40.58,3.3887,0.966,4356298849169862784,0.015,True,106.44778067885116,position+magnitude match
63816,196.19488393,55.90272448,30.63,2.3,-165.74,32.92,10.7917,1.577,1564804508903241088,0.044,True,106.48253346392424,position+magnitude match
65906,202.65178887,-42.63068457,30.62,1.68,-132.06,-115.73,9.6702,1.286,,3219.627,False,106.51730894839972,no Gaia match
115013,349.40748397,-42.19154884,30.61,1.9,285.57,-40.6,10.4992,1.316,6536153970619060864,0.311,True,106.55210715452466,position+magnitude match
30579,96.41016086,-31.48092453,30.59,0.68,53.22,-13.2,8.2187,0.719,2893174259322992256,0.0,True,106.62177182085648,position+magnitude match
104329,317.00797927,25.17662967,30.59,1.43,-20.86,-162.92,9.9666,1.16,1841125559219604608,0.0,True,106.62177182085648,position+magnitude match
116928,355.51200755,1.78041748,30.59,0.19,-129.7,-154.8,4.5578,0.2,2646511813609323008,0.0,True,106.62177182085648,position+magnitude match
83770,256.80981365,-2.86674396,30.59,1.0,116.18,-86.65,7.9706,0.735,4367462362525377664,0.225,True,106.62177182085648,position+magnitude match
92918,283.97119547,-5.74427159,30.58,0.67,-201.13,-387.8,7.5991,0.747,4254091856092504192,0.017,True,106.65663832570309,position+magnitude match
104304,316.95117859,29.75678658,30.57,1.96,86.78,-247.52,9.7278,1.102,1852271205513439360,0.177,True,106.69152764147856,position+magnitude match
93711,286.22848008,79.75466247,30.57,0.99,-12.71,194.49,9.7626,1.102,2294924072772825088,0.012,True,106.69152764147856,position+magnitude match
4824,15.48814987,-9.88437187,30.55,1.79,-195.52,-488.09,10.5939,1.226,2473159374400564992,0.0,True,106.76137479541734,position+magnitude match
62875,193.29712942,-3.55308986,30.55,0.3,-262.79,-3.87,6.2183,0.493,3679242575447826432,0.01,True,106.76137479541734,position+magnitude match
